date;grand;moyen;petit;mois
2025-01-04;761;762;763;January
2025-01-05;666;667;668;January
2025-01-08;751;752;753;January
2025-01-11;1;2;3;January
2025-01-12;766;767;768;January
2025-01-15;31;32;33;January
2025-01-18;811;812;813;January
2025-01-19;721;722;723;January
2025-01-22;586;587;588;January
2025-01-25;746;747;748;January
2025-01-26;6;7;8;January
2025-01-29;816;817;818;January
2025-02-01;701;702;703;February
2025-02-02;21;22;23;February
2025-02-05;741;742;743;February
2025-02-08;6;7;8;February
2025-02-09;746;747;748;February
2025-02-12;581;582;583;February
2025-02-15;56;57;58;February
2025-02-16;586;587;588;February
2025-02-19;601;602;603;February
2025-02-22;671;672;673;February
2025-02-23;606;607;608;February
2025-02-26;681;682;683;February
2025-03-01;431;432;433;March
2025-03-02;686;687;688;March
2025-03-05;591;592;593;March
2025-03-08;41;42;43;March
2025-03-09;596;597;598;March
2025-03-12;81;82;83;March
2025-03-15;471;472;473;March
2025-03-16;86;87;88;March
2025-03-19;76;77;78;March
2025-03-22;451;452;453;March
2025-03-23;71;72;73;March
2025-03-26;491;492;493;March
2025-03-29;201;202;203;March
2025-03-30;496;497;498;March
2025-04-02;151;152;153;April
2025-04-05;91;92;93;April
2025-04-06;156;157;158;April
2025-04-09;101;102;103;April
2025-04-12;106;107;108;April
2025-04-13;106;107;108;April
2025-04-16;461;462;463;April
2025-04-19;111;112;113;April
2025-04-20;466;467;468;April
2025-04-23;621;622;623;April
2025-04-26;531;532;533;April
2025-04-27;626;627;628;April
2025-04-30;381;382;383;April
2025-05-03;711;712;713;May
2025-05-04;386;387;388;May
2025-05-07;351;352;353;May
2025-05-10;181;182;183;May
2025-05-11;356;357;358;May
2025-05-14;141;142;143;May
2025-05-17;171;172;173;May
2025-05-18;146;147;148;May
2025-05-21;481;482;483;May
2025-05-24;211;212;213;May
2025-05-25;486;487;488;May
2025-05-28;241;242;243;May
2025-05-31;391;392;393;May
2025-06-01;246;247;248;June
2025-06-04;501;502;503;June
2025-06-07;411;412;413;June
2025-06-08;506;507;508;June
2025-06-11;266;267;268;June
2025-06-14;291;292;293;June
2025-06-15;261;262;263;June
2025-06-18;651;652;653;June
2025-06-21;221;222;223;June
2025-06-22;656;657;658;June
2025-06-25;821;822;823;June
2025-06-28;791;792;793;June
2025-06-29;826;827;828;June
2025-07-02;361;362;363;July
2025-07-05;331;332;333;July
2025-07-09;366;367;368;July
2025-07-09;801;802;803;July
2025-07-12;831;832;833;July
2025-07-13;806;807;808;July
2025-07-16;231;232;233;July
2025-07-19;281;282;283;July
2025-07-20;236;237;238;July
2025-07-23;301;302;303;July
2025-07-26;346;347;348;July
2025-07-27;306;307;308;July
2025-07-30;401;402;403;July
2025-08-02;796;797;798;August
2025-08-03;406;407;408;August
2025-08-06;296;297;298;August
2025-08-09;226;227;228;August
2025-08-10;291;292;293;August
2025-08-13;316;317;318;August
2025-08-16;416;417;417;August
2025-08-17;311;312;313;August
2025-08-20;396;397;398;August
2025-08-23;186;187;188;August
2025-08-24;391;392;393;August
2025-08-27;501;502;503;August
2025-08-30;521;522;523;August
2025-08-31;506;507;508;August
2025-09-03;526;527;528;September
2025-09-06;716;717;718;September
2025-09-07;521;522;523;September
2025-09-10;161;162;163;September
2025-09-13;191;192;193;September
2025-09-14;166;167;168;September
2025-09-17;536;537;538;September
2025-09-24;121;122;123;September
2025-09-27;131;132;133;September
2025-09-28;531;532;533;September
2025-10-01;206;207;208;October
2025-10-04;511;512;513;October
2025-10-05;201;202;203;October
2025-10-08;71;72;73;October
2025-10-11;561;562;563;October
2025-10-12;76;77;78;October
2025-10-15;456;457;458;October
2025-10-18;551;552;553;October
2025-10-19;451;452;453;October
2025-10-22;566;567;568;October
2025-10-25;556;557;558;October
2025-10-26;561;562;563;October
2025-10-29;631;632;633;October
2025-11-02;636;637;638;November
2025-11-05;46;47;48;November
2025-11-08;611;612;613;November
2025-11-09;41;42;43;November
2025-11-12;96;97;98;November
2025-11-15;616;617;618;November
2025-11-16;46;47;48;November
2025-11-19;596;597;598;November
2025-11-22;61;62;63;November
2025-11-23;591;592;593;November
2025-11-26;571;572;573;November
2025-11-29;66;67;68;November
2025-11-30;576;577;578;November
2025-12-03;436;437;438;December
2025-12-06;691;692;693;December
2025-12-07;431;432;433;December
2025-12-10;541;542;543;December
2025-12-13;571;572;573;December
2025-12-14;546;547;548;December
2025-12-17;696;697;698;December
2025-12-20;431;432;433;December
2025-12-21;691;692;693;December
2025-12-24;676;677;678;December
2025-12-27;686;687;688;December
2025-12-28;671;672;673;December
2025-12-31;606;607;608;December
2026-01-03;16;17;18;January
2026-01-04;601;602;603;January
2026-01-07;661;662;663;January
2026-01-10;31;32;33;January
2026-01-11;666;667;668;January
2026-01-14;721;722;723;January
2026-01-17;751;752;753;January
2026-01-18;726;727;728;January
2026-01-21;731;732;733;January
2026-01-24;581;582;583;January
2026-01-25;736;737;738;January
2026-01-28;811;812;813;January
2026-01-31;741;742;743;January
