6;6864737
31;10863286
46;8377730
56;6806098
61;9342291
71;6683368
81;5779849
131;5854318
136;5858360
141;9828088
142;5997092
171;8538203
206;8022947
207;10642994
241;4965806
251;4063959
261;8735380
262;14915247
271;8935584
301;5074460
302;13323951
302;10092065
311;8651270
312;10334002
331;8747146
346;5086515
371;6510304
378;1906549
381;9154598
401;3849623
406;5042345
407;10269581
416;5188658
421;10238310
422;10238411
431;5767096
436;5456957
446;9768146
466;5869142
467;10653104
471;6716057
481;5972974
506;9137250
511;5800792
516;6663116
521;5944123
526;10447487
531;10524174
541;9568227
552;10707562
571;6780080
581;5684117
591;9609229
592;5361977
596;4494546
601;5646241
611;8385412
621;7951109
631;8113218
641;5832403
641;7955386
656;8826009
661;8265594
671;5708317
681;11057153
691;8336089
696;9359692
706;10984280
721;10889118
726;10583910
731;9451559
731;6844333
741;4451518
746;6989294
761;5522157
781;3835537
786;5147300
796;9019716
801;8904783
816;10921226
821;14891840
822;14891733
