date;grand;moyen;petit;mois
2026-01-03;16;17;18;January
2026-01-04;601;602;603;January
2026-01-07;661;662;663;January
2026-01-10;31;32;33;January
2026-01-11;666;667;668;January
2026-01-14;721;722;723;January
2026-01-17;751;752;753;January
2026-01-18;726;727;728;January
2026-01-21;731;732;733;January
2026-01-24;581;582;583;January
2026-01-25;736;737;738;January
2026-01-28;811;812;813;January
2026-01-31;741;742;743;January
2026-02-01;761;762;763;February
2026-02-04;51;52;53;February
2026-02-07;581;582;583;February
2026-02-08;56;57;58;February
2026-02-11;681;682;683;February
2026-02-14;676;677;678;February
2026-02-15;686;687;687;February
2026-02-18;696;697;698;February
2026-02-21;436;437;438;February
2026-02-22;691;692;693;February
2026-02-25;61;62;63;February
2026-02-28;596;597;598;February
2026-03-01;66;67;68;March
2026-03-04;616;617;618;March
2026-03-07;46;47;48;March
2026-03-08;611;612;613;March
2026-03-11;86;87;88;March
2026-03-14;476;477;478;March
2026-03-15;81;82;83;March
2026-03-18;636;637;638;March
2026-03-21;566;567;568;March
2026-03-22;631;632;633;March
2026-03-25;106;107;108;March
2026-03-28;91;92;93;March
2026-03-29;101;102;103;March
2026-04-01;491;492;493;April
2026-04-04;156;157;158;April
2026-04-05;496;497;498;April
2026-04-08;511;512;513;April
2026-04-11;111;112;113;April
2026-04-12;516;517;518;April
2026-04-15;621;622;623;April
2026-04-22;536;537;538;April
2026-04-25;121;122;123;April
2026-04-26;531;532;533;April
2026-04-29;196;197;198;April
2026-05-02;521;522;523;May
2026-05-03;191;192;193;May
2026-05-06;501;502;503;May
2026-05-09;351;352;353;May
2026-05-10;506;507;508;May
2026-05-13;171;172;173;May
2026-05-16;141;142;143;May
2026-05-17;176;177;178;May
2026-05-20;486;487;488;May
2026-05-23;211;212;213;May
2026-05-24;481;482;483;May
2026-05-27;411;412;413;May
2026-05-30;311;312;313;May
2026-05-31;416;417;418;May
2026-06-03;291;292;293;June
2026-06-06;261;262;263;June
2026-06-07;296;297;298;June
2026-06-10;826;827;828;June
2026-06-13;331;332;333;June
2026-06-14;821;822;823;June
2026-06-17;651;652;653;June
2026-06-20;226;227;228;June
2026-06-21;656;657;658;June
2026-06-24;366;367;368;June
2026-06-27;796;797;798;June
2026-06-28;361;362;363;June
2026-07-01;306;307;308;July
2026-07-04;231;232;233;July
2026-07-05;301;302;303;July
2026-07-08;321;322;323;July
2026-07-11;781;782;783;July
2026-07-12;326;327;328;July
2026-07-15;806;807;808;July
2026-07-18;281;282;283;July
2026-07-19;801;802;803;July
2026-07-22;401;402;403;July
2026-07-25;421;422;423;July
2026-07-26;286;287;288;July
2026-07-29;836;837;838;July
2026-08-01;276;277;278;August
2026-08-02;831;832;833;August
2026-08-05;341;342;343;August
2026-08-08;406;407;408;August
2026-08-09;346;347;348;August
2026-08-12;791;792;793;August
2026-08-16;796;797;798;August
2026-08-19;376;377;378;August
2026-08-22;391;392;393;August
2026-08-23;371;372;373;August
2026-08-26;186;187;188;August
2026-08-29;646;647;648;August
2026-08-30;181;182;183;August
2026-09-02;386;387;388;September
2026-09-05;161;162;163;September
2026-09-06;381;382;383;September
2026-09-09;641;642;643;September
2026-09-16;536;537;538;September
2026-09-19;446;447;448;September
2026-09-20;531;532;533;September
2026-09-23;461;462;463;September
2026-09-26;251;252;253;September
2026-09-27;466;467;468;September
2026-09-30;131;132;133;September
2026-10-03;71;72;73;October
2026-10-04;136;137;138;October
2026-10-07;201;202;203;October
2026-10-10;456;457;458;October
2026-10-11;206;207;208;October
2026-10-14;556;557;558;October
2026-10-17;471;472;473;October
2026-10-18;551;552;553;October
2026-10-21;41;42;43;October
2026-10-24;611;612;613;October
2026-10-25;46;47;48;October
2026-10-28;591;592;593;October
2026-10-31;61;62;63;October
2026-11-04;671;672;673;November
2026-11-08;676;677;678;November
2026-11-14;691;692;693;November
2026-11-15;546;547;548;November
2026-11-18;431;432;433;November
2026-11-21;681;682;683;November
2026-11-22;436;437;438;November
2026-11-25;546;547;548;November
2026-11-28;601;602;603;November
2026-11-29;541;542;543;November
2026-12-02;56;57;58;December
2026-12-06;606;607;608;December
2026-12-09;706;707;708;December
2026-12-12;51;52;53;December
2026-12-13;701;702;703;December
2026-12-16;816;817;818;December
2026-12-19;741;742;743;December
2026-12-20;811;812;813;December
2026-12-23;586;587;588;December
2026-12-08;27;581;582;December
2027-01-02;21;22;23;January
2027-01-03;756;757;758;January
2027-01-06;751;752;753;January
2027-01-09;721;722;723;January
2027-01-10;26;27;28;January
2027-01-13;31;32;33;January
2027-01-16;661;662;663;January
2027-01-17;36;37;38;January
2027-01-20;736;737;738;January
2027-01-23;816;817;818;January
2027-01-24;731;732;733;January
2027-01-27;701;702;703;January
2027-01-30;601;602;603;January
2027-01-31;706;707;708;January
